SR NO,Company Name,Symbol,SECTOR,INDUSTRY,ISIN Code
560,Piramal Pharma Ltd.,PPLPHARMA,NIFTY PHARMA,,INE0DK501011
560,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,NIFTY PHARMA,,INE044A01036
561,Torrent Pharmaceuticals Ltd.,TORNTPHARM,NIFTY PHARMA,,INE685A01028
561,Wockhardt Ltd.,WOCKPHARMA,NIFTY PHARMA,,INE049B01025
562,Zydus Lifesciences Ltd.,ZYDUSLIFE,NIFTY PHARMA,,INE010B01027
562,Abbott India Ltd.,ABBOTINDIA,NIFTY HEALTHCARE,,INE358A01014
563,Alkem Laboratories Ltd.,ALKEM,NIFTY HEALTHCARE,,INE540L01014
563,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,NIFTY HEALTHCARE,,INE437A01024
564,Aurobindo Pharma Ltd.,AUROPHARMA,NIFTY HEALTHCARE,,INE406A01037
564,Biocon Ltd.,BIOCON,NIFTY HEALTHCARE,,INE376G01013
565,Cipla Ltd.,CIPLA,NIFTY HEALTHCARE,,INE059A01026
565,Divi's Laboratories Ltd.,DIVISLAB,NIFTY HEALTHCARE,,INE361B01024
566,Dr. Reddy's Laboratories Ltd.,DRREDDY,NIFTY HEALTHCARE,,INE089A01031
566,Fortis Healthcare Ltd.,FORTIS,NIFTY HEALTHCARE,,INE061F01013
567,Glenmark Pharmaceuticals Ltd.,GLENMARK,NIFTY HEALTHCARE,,INE935A01035
567,Ipca Laboratories Ltd.,IPCALAB,NIFTY HEALTHCARE,,INE571A01038
568,Laurus Labs Ltd.,LAURUSLABS,NIFTY HEALTHCARE,,INE947Q01028
568,Lupin Ltd.,LUPIN,NIFTY HEALTHCARE,,INE326A01037
569,Mankind Pharma Ltd.,MANKIND,NIFTY HEALTHCARE,,INE634S01028
569,Max Healthcare Institute Ltd.,MAXHEALTH,NIFTY HEALTHCARE,,INE027H01010
570,Piramal Pharma Ltd.,PPLPHARMA,NIFTY HEALTHCARE,,INE0DK501011
570,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,NIFTY HEALTHCARE,,INE044A01036
571,Syngene International Ltd.,SYNGENE,NIFTY HEALTHCARE,,INE398R01022
571,Torrent Pharmaceuticals Ltd.,TORNTPHARM,NIFTY HEALTHCARE,,INE685A01028
572,Zydus Lifesciences Ltd.,ZYDUSLIFE,NIFTY HEALTHCARE,,INE010B01027
572,Affle 3i Ltd.,AFFLE,NIFTY MIDSMALL IT,,INE00WC01027
573,Bharti Hexacom Ltd.,BHARTIHEXA,NIFTY MIDSMALL IT,,INE343G01021
573,Coforge Ltd.,COFORGE,NIFTY MIDSMALL IT,,INE591G01025
574,Cyient Ltd.,CYIENT,NIFTY MIDSMALL IT,,INE136B01020
574,HFCL Ltd.,HFCL,NIFTY MIDSMALL IT,,INE548A01028
575,Hexaware Technologies Ltd.,HEXT,NIFTY MIDSMALL IT,,INE093A01041
575,Indus Towers Ltd.,INDUSTOWER,NIFTY MIDSMALL IT,,INE121J01017
576,Intellect Design Arena Ltd.,INTELLECT,NIFTY MIDSMALL IT,,INE306R01017
576,KPIT Technologies Ltd.,KPITTECH,NIFTY MIDSMALL IT,,INE04I401011
577,L&T Technology Services Ltd.,LTTS,NIFTY MIDSMALL IT,,INE010V01017
577,MphasiS Ltd.,MPHASIS,NIFTY MIDSMALL IT,,INE356A01018
578,Oracle Financial Services Software Ltd.,OFSS,NIFTY MIDSMALL IT,,INE881D01027
578,Persistent Systems Ltd.,PERSISTENT,NIFTY MIDSMALL IT,,INE262H01021
579,Sagility Ltd.,SAGILITY,NIFTY MIDSMALL IT,,INE0W2G01015
579,Sonata Software Ltd.,SONATSOFTW,NIFTY MIDSMALL IT,,INE269A01021
580,Tata Communications Ltd.,TATACOMM,NIFTY MIDSMALL IT,,INE151A01013
580,Tata Elxsi Ltd.,TATAELXSI,NIFTY MIDSMALL IT,,INE670A01012
581,Tata Technologies Ltd.,TATATECH,NIFTY MIDSMALL IT,,INE142M01025
581,Vodafone Idea Ltd.,IDEA,NIFTY MIDSMALL IT,,INE669E01016
582,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY MIDSMALL IT,,INE520A01027
582,HCL Technologies Ltd.,HCLTECH,NIFTY IT,IT - Software,INE860A01027
583,Infosys Ltd.,INFY,NIFTY IT,IT - Software,INE009A01021
583,Tata Consultancy Services Ltd.,TCS,NIFTY IT,IT - Software,INE467B01029
584,Tech Mahindra Ltd.,TECHM,NIFTY IT,IT - Software,INE669C01036
584,Wipro Ltd.,WIPRO,NIFTY IT,IT - Software,INE075A01022
585,LTIMindtree Ltd.,LTM,NIFTY IT,IT - Software,INE214T01019
585,HCL Technologies Ltd.,HCLTECH,NIFTY IT,IT - Software,INE860A01027
586,Infosys Ltd.,INFY,NIFTY IT,IT - Software,INE009A01021
586,LTIMindtree Ltd.,LTM,NIFTY IT,IT - Software,INE214T01019
587,Tata Consultancy Services Ltd.,TCS,NIFTY IT,IT - Software,INE467B01029
587,Tech Mahindra Ltd.,TECHM,NIFTY IT,IT - Software,INE669C01036
588,Wipro Ltd.,WIPRO,NIFTY IT,IT - Software,INE075A01022
588,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
589,HCL Technologies Ltd.,HCLTECH,NIFTY IT,IT - Software,INE860A01027
589,Infosys Ltd.,INFY,NIFTY IT,IT - Software,INE009A01021
590,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
590,LTIMindtree Ltd.,LTM,NIFTY IT,IT - Software,INE214T01019
591,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
591,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
592,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
592,Tata Consultancy Services Ltd.,TCS,NIFTY IT,IT - Software,INE467B01029
593,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
593,Tech Mahindra Ltd.,TECHM,NIFTY IT,IT - Software,INE669C01036
594,Wipro Ltd.,WIPRO,NIFTY IT,IT - Software,INE075A01022
594,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
595,Birlasoft Ltd.,BSOFT,NIFTY IT,IT - Software,INE836A01035
595,C.E. Info Systems Ltd.,MAPMYINDIA,NIFTY IT,IT - Software,INE0BV301023
596,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
596,Cyient Ltd.,CYIENT,NIFTY IT,IT - Software,INE136B01020
597,HCL Technologies Ltd.,HCLTECH,NIFTY IT,IT - Software,INE860A01027
597,Hexaware Technologies Ltd.,HEXT,NIFTY IT,IT - Software,INE093A01041
598,Infosys Ltd.,INFY,NIFTY IT,IT - Software,INE009A01021
598,Intellect Design Arena Ltd.,INTELLECT,NIFTY IT,IT - Software,INE306R01017
599,Inventurus Knowledge Solutions Ltd.,IKS,NIFTY IT,BPO/ITeS,INE115Q01022
599,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
600,L&T Technology Services Ltd.,LTTS,NIFTY IT,IT - Software,INE010V01017
600,LTIMindtree Ltd.,LTM,NIFTY IT,IT - Software,INE214T01019
601,Latent View Analytics Ltd.,LATENTVIEW,NIFTY IT,Business Support,INE0I7C01011
601,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
602,Netweb Technologies India Ltd.,NETWEB,NIFTY IT,IT - Hardware,INE0NT901020
602,Newgen Software Technologies Ltd.,NEWGEN,NIFTY IT,IT - Software,INE619B01017
603,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
603,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
604,Sagility Ltd.,SAGILITY,NIFTY IT,Business Support,INE0W2G01015
604,Sonata Software Ltd.,SONATSOFTW,NIFTY IT,IT - Software,INE269A01021
605,Tata Consultancy Services Ltd.,TCS,NIFTY IT,IT - Software,INE467B01029
605,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
606,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
606,Tech Mahindra Ltd.,TECHM,NIFTY IT,IT - Software,INE669C01036
607,Wipro Ltd.,WIPRO,NIFTY IT,IT - Software,INE075A01022
607,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY IT,IT - Software,INE520A01027
608,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
608,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
609,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
609,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
610,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
610,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
611,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
611,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
612,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
612,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
613,Hexaware Technologies Ltd.,HEXT,NIFTY IT,IT - Software,INE093A01041
613,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
614,L&T Technology Services Ltd.,LTTS,NIFTY IT,IT - Software,INE010V01017
614,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
615,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
615,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
616,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
616,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
617,Birlasoft Ltd.,BSOFT,NIFTY IT,IT - Software,INE836A01035
617,C.E. Info Systems Ltd.,MAPMYINDIA,NIFTY IT,IT - Software,INE0BV301023
618,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
618,Cyient Ltd.,CYIENT,NIFTY IT,IT - Software,INE136B01020
619,Hexaware Technologies Ltd.,HEXT,NIFTY IT,IT - Software,INE093A01041
619,Intellect Design Arena Ltd.,INTELLECT,NIFTY IT,IT - Software,INE306R01017
620,Inventurus Knowledge Solutions Ltd.,IKS,NIFTY IT,BPO/ITeS,INE115Q01022
620,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
621,L&T Technology Services Ltd.,LTTS,NIFTY IT,IT - Software,INE010V01017
621,Latent View Analytics Ltd.,LATENTVIEW,NIFTY IT,Business Support,INE0I7C01011
622,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
622,Netweb Technologies India Ltd.,NETWEB,NIFTY IT,IT - Hardware,INE0NT901020
623,Newgen Software Technologies Ltd.,NEWGEN,NIFTY IT,IT - Software,INE619B01017
623,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
624,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
624,Sagility Ltd.,SAGILITY,NIFTY IT,Business Support,INE0W2G01015
625,Sonata Software Ltd.,SONATSOFTW,NIFTY IT,IT - Software,INE269A01021
625,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
626,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
626,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY IT,IT - Software,INE520A01027
627,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
627,Aurionpro Solution Ltd.,AURIONPRO,NIFTY IT,IT - Software,INE132H01018
628,Birlasoft Ltd.,BSOFT,NIFTY IT,IT - Software,INE836A01035
628,Black Box Ltd.,BBOX,NIFTY IT,Telecommunication - Equipment,INE676A01027
629,C.E. Info Systems Ltd.,MAPMYINDIA,NIFTY IT,IT - Software,INE0BV301023
629,Capillary Technologies India Ltd.,CAPILLARY,NIFTY IT,IT - Software,INE0ILV01024
630,Cigniti Technologies Ltd.,CIGNITITEC,NIFTY IT,IT - Software,INE675C01017
630,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
631,Cyient Ltd.,CYIENT,NIFTY IT,IT - Software,INE136B01020
631,Datamatics Global Services Ltd.,DATAMATICS,NIFTY IT,IT - Software,INE365B01017
632,HCL Technologies Ltd.,HCLTECH,NIFTY IT,IT - Software,INE860A01027
632,Happiest Minds Technologies Ltd.,HAPPSTMNDS,NIFTY IT,IT - Software,INE419U01012
633,Hexaware Technologies Ltd.,HEXT,NIFTY IT,IT - Software,INE093A01041
633,Infosys Ltd.,INFY,NIFTY IT,IT - Software,INE009A01021
634,Intellect Design Arena Ltd.,INTELLECT,NIFTY IT,IT - Software,INE306R01017
634,Inventurus Knowledge Solutions Ltd.,IKS,NIFTY IT,BPO/ITeS,INE115Q01022
635,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
635,L&T Technology Services Ltd.,LTTS,NIFTY IT,IT - Software,INE010V01017
636,LTIMindtree Ltd.,LTM,NIFTY IT,IT - Software,INE214T01019
636,Latent View Analytics Ltd.,LATENTVIEW,NIFTY IT,Business Support,INE0I7C01011
637,Mastek Ltd.,MASTEK,NIFTY IT,IT - Software,INE759A01021
637,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
638,Netweb Technologies India Ltd.,NETWEB,NIFTY IT,IT - Hardware,INE0NT901020
638,Newgen Software Technologies Ltd.,NEWGEN,NIFTY IT,IT - Software,INE619B01017
639,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
639,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
640,Rategain Travel Technologies Ltd.,RATEGAIN,NIFTY IT,IT - Software,INE0CLI01024
640,Sagility Ltd.,SAGILITY,NIFTY IT,Business Support,INE0W2G01015
641,Sonata Software Ltd.,SONATSOFTW,NIFTY IT,IT - Software,INE269A01021
641,Tanla Platforms Ltd.,TANLA,NIFTY IT,IT - Software,INE483C01032
642,Tata Consultancy Services Ltd.,TCS,NIFTY IT,IT - Software,INE467B01029
642,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
643,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
643,Tech Mahindra Ltd.,TECHM,NIFTY IT,IT - Software,INE669C01036
644,Wipro Ltd.,WIPRO,NIFTY IT,IT - Software,INE075A01022
644,Zaggle Prepaid Ocean Services Ltd.,ZAGGLE,NIFTY IT,IT - Software,INE07K301024
645,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY IT,IT - Software,INE520A01027
645,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
646,Birlasoft Ltd.,BSOFT,NIFTY IT,IT - Software,INE836A01035
646,C.E. Info Systems Ltd.,MAPMYINDIA,NIFTY IT,IT - Software,INE0BV301023
647,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
647,Cyient Ltd.,CYIENT,NIFTY IT,IT - Software,INE136B01020
648,HCL Technologies Ltd.,HCLTECH,NIFTY IT,IT - Software,INE860A01027
648,Hexaware Technologies Ltd.,HEXT,NIFTY IT,IT - Software,INE093A01041
649,Infosys Ltd.,INFY,NIFTY IT,IT - Software,INE009A01021
649,Intellect Design Arena Ltd.,INTELLECT,NIFTY IT,IT - Software,INE306R01017
650,Inventurus Knowledge Solutions Ltd.,IKS,NIFTY IT,BPO/ITeS,INE115Q01022
650,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
651,L&T Technology Services Ltd.,LTTS,NIFTY IT,IT - Software,INE010V01017
651,LTIMindtree Ltd.,LTM,NIFTY IT,IT - Software,INE214T01019
652,Latent View Analytics Ltd.,LATENTVIEW,NIFTY IT,Business Support,INE0I7C01011
652,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
653,Netweb Technologies India Ltd.,NETWEB,NIFTY IT,IT - Hardware,INE0NT901020
653,Newgen Software Technologies Ltd.,NEWGEN,NIFTY IT,IT - Software,INE619B01017
654,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
654,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
655,Sagility Ltd.,SAGILITY,NIFTY IT,Business Support,INE0W2G01015
655,Sonata Software Ltd.,SONATSOFTW,NIFTY IT,IT - Software,INE269A01021
656,Tata Consultancy Services Ltd.,TCS,NIFTY IT,IT - Software,INE467B01029
656,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
657,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
657,Tech Mahindra Ltd.,TECHM,NIFTY IT,IT - Software,INE669C01036
658,Wipro Ltd.,WIPRO,NIFTY IT,IT - Software,INE075A01022
658,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY IT,IT - Software,INE520A01027
659,Coforge Ltd.,COFORGE,NIFTY IT,IT - Software,INE591G01025
659,HCL Technologies Ltd.,HCLTECH,NIFTY IT,IT - Software,INE860A01027
660,Hexaware Technologies Ltd.,HEXT,NIFTY IT,IT - Software,INE093A01041
660,Infosys Ltd.,INFY,NIFTY IT,IT - Software,INE009A01021
661,KPIT Technologies Ltd.,KPITTECH,NIFTY IT,IT - Software,INE04I401011
661,L&T Technology Services Ltd.,LTTS,NIFTY IT,IT - Software,INE010V01017
662,LTIMindtree Ltd.,LTM,NIFTY IT,IT - Software,INE214T01019
662,MphasiS Ltd.,MPHASIS,NIFTY IT,IT - Software,INE356A01018
663,Oracle Financial Services Software Ltd.,OFSS,NIFTY IT,IT - Software,INE881D01027
663,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
664,Tata Consultancy Services Ltd.,TCS,NIFTY IT,IT - Software,INE467B01029
664,Tata Elxsi Ltd.,TATAELXSI,NIFTY IT,IT - Software,INE670A01012
665,Tech Mahindra Ltd.,TECHM,NIFTY IT,IT - Software,INE669C01036
665,Wipro Ltd.,WIPRO,NIFTY IT,IT - Software,INE075A01022
666,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
666,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
667,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
667,Inventurus Knowledge Solutions Ltd.,IKS,NIFTY IT,BPO/ITeS,INE115Q01022
668,Netweb Technologies India Ltd.,NETWEB,NIFTY IT,IT - Hardware,INE0NT901020
668,Sagility Ltd.,SAGILITY,NIFTY IT,Business Support,INE0W2G01015
669,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
669,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY IT,IT - Software,INE520A01027
670,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
670,Birlasoft Ltd.,BSOFT,NIFTY IT,IT - Software,INE836A01035
671,C.E. Info Systems Ltd.,MAPMYINDIA,NIFTY IT,IT - Software,INE0BV301023
671,Cyient Ltd.,CYIENT,NIFTY IT,IT - Software,INE136B01020
672,Intellect Design Arena Ltd.,INTELLECT,NIFTY IT,IT - Software,INE306R01017
672,Inventurus Knowledge Solutions Ltd.,IKS,NIFTY IT,BPO/ITeS,INE115Q01022
673,Latent View Analytics Ltd.,LATENTVIEW,NIFTY IT,Business Support,INE0I7C01011
673,Netweb Technologies India Ltd.,NETWEB,NIFTY IT,IT - Hardware,INE0NT901020
674,Newgen Software Technologies Ltd.,NEWGEN,NIFTY IT,IT - Software,INE619B01017
674,Sagility Ltd.,SAGILITY,NIFTY IT,Business Support,INE0W2G01015
675,Sonata Software Ltd.,SONATSOFTW,NIFTY IT,IT - Software,INE269A01021
675,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
676,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY IT,IT - Software,INE520A01027
676,Affle 3i Ltd.,AFFLE,NIFTY IT,BPO/ITeS,INE00WC01027
677,Aurionpro Solution Ltd.,AURIONPRO,NIFTY IT,IT - Software,INE132H01018
677,Birlasoft Ltd.,BSOFT,NIFTY IT,IT - Software,INE836A01035
678,Black Box Ltd.,BBOX,NIFTY IT,Telecommunication - Equipment,INE676A01027
678,C.E. Info Systems Ltd.,MAPMYINDIA,NIFTY IT,IT - Software,INE0BV301023
679,Capillary Technologies India Ltd.,CAPILLARY,NIFTY IT,IT - Software,INE0ILV01024
679,Cigniti Technologies Ltd.,CIGNITITEC,NIFTY IT,IT - Software,INE675C01017
680,Cyient Ltd.,CYIENT,NIFTY IT,IT - Software,INE136B01020
680,Datamatics Global Services Ltd.,DATAMATICS,NIFTY IT,IT - Software,INE365B01017
681,Happiest Minds Technologies Ltd.,HAPPSTMNDS,NIFTY IT,IT - Software,INE419U01012
681,Intellect Design Arena Ltd.,INTELLECT,NIFTY IT,IT - Software,INE306R01017
682,Inventurus Knowledge Solutions Ltd.,IKS,NIFTY IT,BPO/ITeS,INE115Q01022
682,Latent View Analytics Ltd.,LATENTVIEW,NIFTY IT,Business Support,INE0I7C01011
683,Mastek Ltd.,MASTEK,NIFTY IT,IT - Software,INE759A01021
683,Netweb Technologies India Ltd.,NETWEB,NIFTY IT,IT - Hardware,INE0NT901020
684,Newgen Software Technologies Ltd.,NEWGEN,NIFTY IT,IT - Software,INE619B01017
684,R Systems International Ltd.,RSYSTEMS,NIFTY IT,IT - Software,INE411H01032
685,Rategain Travel Technologies Ltd.,RATEGAIN,NIFTY IT,IT - Software,INE0CLI01024
685,Sagility Ltd.,SAGILITY,NIFTY IT,Business Support,INE0W2G01015
686,Sonata Software Ltd.,SONATSOFTW,NIFTY IT,IT - Software,INE269A01021
686,Tanla Platforms Ltd.,TANLA,NIFTY IT,IT - Software,INE483C01032
687,Tata Technologies Ltd.,TATATECH,NIFTY IT,IT - Software,INE142M01025
687,Zaggle Prepaid Ocean Services Ltd.,ZAGGLE,NIFTY IT,IT - Software,INE07K301024
688,Zensar Technolgies Ltd.,ZENSARTECH,NIFTY IT,IT - Software,INE520A01027
688,Persistent Systems Ltd.,PERSISTENT,NIFTY IT,IT - Software,INE262H01021
